X_numpy,opp1 hands,opp2 hands,opp3 hands,opp1_waiting_yes,opp1_waiting_no,opp2_waiting_yes,opp2_waiting_no,opp3_waiting_yes,opp3_waiting_no,effect1,effect2,effect3
train0,,,,0,1,1,0,1,0,,,
train1,,,,0,1,1,0,1,0,,,
train2,,,,0,1,1,0,1,0,,,
train3,,,,1,0,1,0,1,0,,,
train4,,,,0,1,0,1,1,0,,,
train5,,,,0,1,0,1,1,0,,,
train6,,,,1,0,0,1,1,0,,,
train7,,,,1,0,1,0,1,0,,,
train8,,,,0,1,0,1,1,0,,,
train9,,,,0,1,0,1,1,0,,,
train10,,,,1,0,0,1,1,0,,,
train11,,,,1,0,1,0,1,0,,,
train12,,,,0,1,0,1,1,0,,,
train13,,,,0,1,0,1,1,0,,,
train14,,,,1,0,0,1,1,0,,,
train15,,,,1,0,1,0,1,0,,,
train16,,,,1,0,0,1,1,0,,,
train17,,,,1,0,0,1,1,0,,,
train18,,,,1,0,0,1,1,0,,,
train19,,,,1,0,0,1,1,0,,,
train20,,,,1,0,1,0,0,1,,,
train21,,,,1,0,1,0,0,1,,,
train22,,,,1,0,1,0,0,1,,,
train23,,,,1,0,1,0,0,1,,,
train24,,,,0,1,0,1,0,1,,,
train25,,,,0,1,0,1,0,1,,,
train26,,,,1,0,0,1,0,1,,,
train27,,,,1,0,0,1,0,1,,,
train28,,,,1,0,0,1,0,1,,,
train29,,,,1,0,1,0,0,1,,,
train30,,,,1,0,1,0,0,1,,,
train31,,,,1,0,1,0,0,1,,,
train32,,,,0,1,0,1,0,1,,,
train33,,,,0,1,0,1,0,1,,,
train34,,,,0,1,1,0,0,1,,,
train35,,,,0,1,1,0,0,1,,,
train36,,,,0,1,0,1,0,1,,,
train37,,,,0,1,0,1,0,1,,,
train38,,,,1,0,0,1,1,0,,,
train39,,,,1,0,0,1,1,0,,,
train40,,,,0,1,1,0,1,0,,,
train41,,,,0,1,1,0,1,0,,,
train42,,,,1,0,1,0,1,0,,,
train43,,,,1,0,1,0,1,0,,,
train44,,,,1,0,0,1,1,0,,,
train45,,,,1,0,1,0,1,0,,,
train46,,,,1,0,1,0,1,0,,,
train47,,,,1,0,1,0,1,0,,,
train48,,,,0,1,0,1,1,0,,,
train49,,,,0,1,0,1,1,0,,,
train50,,,,0,1,0,1,1,0,,,
train51,,,,0,1,0,1,1,0,,,
train52,,,,1,0,0,1,0,1,,,
train53,,,,1,0,0,1,0,1,,,
train54,,,,1,0,0,1,0,1,,,
train55,,,,1,0,0,1,0,1,,,
train56,,,,1,0,1,0,1,0,,,
train57,,,,1,0,1,0,1,0,,,
train58,,,,1,0,1,0,1,0,,,
train59,,,,1,0,1,0,1,0,,,
train60,,,,1,0,1,0,1,0,,,
train61,,,,1,0,1,0,1,0,,,
train62,,,,1,0,1,0,1,0,,,
train63,,,,1,0,1,0,1,0,,,
train64,,,,0,1,1,0,1,0,,,
train65,,,,0,1,1,0,1,0,,,
train66,,,,0,1,1,0,1,0,,,
train67,,,,0,1,1,0,1,0,,,
train68,,,,0,1,0,1,1,0,,,
train69,,,,0,1,0,1,1,0,,,
train70,,,,0,1,0,1,1,0,,,
train71,,,,0,1,0,1,1,0,,,
train72,,,,0,1,1,0,0,1,,,
train73,,,,0,1,1,0,0,1,,,
train74,,,,0,1,1,0,0,1,,,
train75,,,,1,0,1,0,0,1,,,
train76,,,,0,1,0,1,1,0,,,
train77,,,,0,1,0,1,1,0,,,
train78,,,,0,1,0,1,1,0,,,
train79,,,,0,1,1,0,1,0,,,
train80,,,,0,1,1,0,0,1,,,
train81,,,,0,1,1,0,0,1,,,
train82,,,,0,1,1,0,0,1,,,
train83,,,,0,1,1,0,0,1,,,
train84,,,,1,0,0,1,1,0,,,
train85,,,,1,0,0,1,1,0,,,
train86,,,,1,0,0,1,1,0,,,
train87,,,,1,0,0,1,1,0,,,
train88,,,,0,1,0,1,0,1,,,
train89,,,,0,1,0,1,0,1,,,
train90,,,,0,1,0,1,1,0,,,
train91,,,,0,1,0,1,1,0,,,
train92,,,,0,1,0,1,0,1,,,
train93,,,,0,1,0,1,0,1,,,
train94,,,,0,1,1,0,0,1,,,
train95,,,,0,1,1,0,0,1,,,
train96,,,,1,0,0,1,1,0,,,
train97,,,,1,0,1,0,1,0,,,
train98,,,,1,0,1,0,1,0,,,
train99,,,,1,0,1,0,1,0,,,
train100,,,,0,1,1,0,0,1,,,
train101,,,,0,1,1,0,0,1,,,
train102,,,,1,0,1,0,0,1,,,
train103,,,,1,0,1,0,0,1,,,
train104,,,,1,0,1,0,1,0,,,
train105,,,,1,0,1,0,1,0,,,
train106,,,,1,0,1,0,1,0,,,
train107,,,,1,0,1,0,1,0,,,
train108,,,,1,0,1,0,1,0,,,
train109,,,,1,0,1,0,1,0,,,
train110,,,,1,0,1,0,1,0,,,
train111,,,,1,0,1,0,1,0,,,
train112,,,,0,1,1,0,1,0,,,
train113,,,,1,0,1,0,1,0,,,
train114,,,,1,0,1,0,1,0,,,
train115,,,,1,0,1,0,1,0,,,
train116,,,,0,1,0,1,1,0,,,
train117,,,,1,0,1,0,1,0,,,
train118,,,,1,0,1,0,1,0,,,
train119,,,,1,0,1,0,1,0,,,
train120,,,,1,0,0,1,0,1,,,
train121,,,,1,0,0,1,0,1,,,
train122,,,,1,0,0,1,0,1,,,
train123,,,,1,0,1,0,0,1,,,
train124,,,,1,0,1,0,0,1,,,
train125,,,,1,0,1,0,0,1,,,
train126,,,,1,0,1,0,0,1,,,
train127,,,,1,0,1,0,1,0,,,
train128,,,,1,0,1,0,1,0,,,
train129,,,,1,0,1,0,1,0,,,
train130,,,,1,0,1,0,1,0,,,
train131,,,,1,0,1,0,1,0,,,
train132,,,,1,0,1,0,1,0,,,
train133,,,,1,0,1,0,1,0,,,
train134,,,,1,0,1,0,1,0,,,
train135,,,,1,0,1,0,1,0,,,
train136,,,,1,0,0,1,0,1,,,
train137,,,,1,0,0,1,0,1,,,
train138,,,,1,0,1,0,0,1,,,
train139,,,,1,0,1,0,0,1,,,
train140,,,,0,1,0,1,0,1,,,
train141,,,,0,1,1,0,0,1,,,
train142,,,,0,1,1,0,0,1,,,
train143,,,,1,0,1,0,1,0,,,
train144,,,,0,1,0,1,0,1,,,
train145,,,,1,0,0,1,0,1,,,
train146,,,,1,0,0,1,0,1,,,
train147,,,,1,0,0,1,0,1,,,
train148,,,,0,1,0,1,0,1,,,
train149,,,,0,1,1,0,0,1,,,
train150,,,,0,1,1,0,0,1,,,
train151,,,,0,1,1,0,0,1,,,
train152,,,,1,0,1,0,0,1,,,
train153,,,,0,1,1,0,0,1,,,
train154,,,,1,0,1,0,0,1,,,
train155,,,,1,0,1,0,1,0,,,
train156,,,,0,1,1,0,1,0,,,
train157,,,,0,1,0,1,1,0,,,
train158,,,,1,0,1,0,1,0,,,
train159,,,,1,0,1,0,1,0,,,
train160,,,,0,1,0,1,0,1,,,
train161,,,,0,1,0,1,1,0,,,
train162,,,,0,1,0,1,1,0,,,
train163,,,,0,1,0,1,1,0,,,
train164,,,,0,1,0,1,0,1,,,
train165,,,,0,1,0,1,0,1,,,
train166,,,,0,1,0,1,0,1,,,
train167,,,,0,1,0,1,0,1,,,
train168,,,,0,1,0,1,1,0,,,
train169,,,,0,1,0,1,1,0,,,
train170,,,,1,0,0,1,1,0,,,
train171,,,,1,0,1,0,1,0,,,
train172,,,,0,1,0,1,1,0,,,
train173,,,,0,1,0,1,1,0,,,
train174,,,,1,0,0,1,1,0,,,
train175,,,,1,0,1,0,1,0,,,
train176,,,,1,0,0,1,1,0,,,
train177,,,,1,0,1,0,1,0,,,
train178,,,,1,0,1,0,1,0,,,
train179,,,,1,0,1,0,1,0,,,
train180,,,,0,1,1,0,0,1,,,
train181,,,,0,1,1,0,0,1,,,
train182,,,,1,0,1,0,0,1,,,
train183,,,,1,0,1,0,1,0,,,
train184,,,,0,1,1,0,0,1,,,
train185,,,,0,1,1,0,0,1,,,
train186,,,,0,1,1,0,0,1,,,
train187,,,,0,1,1,0,0,1,,,
train188,,,,1,0,0,1,0,1,,,
train189,,,,1,0,0,1,0,1,,,
train190,,,,1,0,0,1,0,1,,,
train191,,,,1,0,0,1,1,0,,,
train192,,,,0,1,0,1,0,1,,,
train193,,,,0,1,0,1,0,1,,,
train194,,,,0,1,0,1,1,0,,,
train195,,,,1,0,0,1,1,0,,,
train196,,,,0,1,0,1,0,1,,,
train197,,,,0,1,0,1,0,1,,,
train198,,,,0,1,1,0,0,1,,,
train199,,,,0,1,1,0,0,1,,,
train200,,,,0,1,0,1,0,1,,,
train201,,,,0,1,1,0,0,1,,,
train202,,,,0,1,1,0,0,1,,,
train203,,,,1,0,1,0,0,1,,,
train204,,,,0,1,0,1,1,0,,,
train205,,,,0,1,0,1,1,0,,,
train206,,,,0,1,1,0,1,0,,,
train207,,,,0,1,1,0,1,0,,,
train208,,,,0,1,1,0,0,1,,,
train209,,,,0,1,1,0,0,1,,,
train210,,,,0,1,1,0,0,1,,,
train211,,,,0,1,1,0,0,1,,,
train212,,,,0,1,0,1,1,0,,,
train213,,,,0,1,0,1,1,0,,,
train214,,,,0,1,0,1,1,0,,,
train215,,,,1,0,0,1,1,0,,,
train216,,,,0,1,0,1,0,1,,,
train217,,,,0,1,0,1,0,1,,,
train218,,,,0,1,0,1,1,0,,,
train219,,,,1,0,0,1,1,0,,,
train220,,,,1,0,0,1,0,1,,,
train221,,,,1,0,0,1,0,1,,,
train222,,,,1,0,1,0,0,1,,,
train223,,,,1,0,1,0,0,1,,,
train224,,,,0,1,0,1,0,1,,,
train225,,,,0,1,1,0,0,1,,,
train226,,,,0,1,1,0,0,1,,,
train227,,,,0,1,1,0,0,1,,,
train228,,,,1,0,0,1,0,1,,,
train229,,,,1,0,0,1,1,0,,,
train230,,,,1,0,0,1,1,0,,,
train231,,,,1,0,0,1,1,0,,,
train232,,,,0,1,1,0,1,0,,,
train233,,,,0,1,1,0,1,0,,,
train234,,,,0,1,1,0,1,0,,,
train235,,,,0,1,1,0,1,0,,,
train236,,,,0,1,0,1,1,0,,,
